timestamp_utc,device_id,device_name,vendor,ifindex,units,sampling_rate,value
2026-04-20T00:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,360044285.52
2026-04-20T01:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,370754839.35
2026-04-20T02:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,350131037.21
2026-04-20T03:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,327938693.8
2026-04-20T04:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,343631851.73
2026-04-20T05:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,324300724.02
2026-04-20T06:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,362165169.69
2026-04-20T07:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,408247748.84
2026-04-20T08:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,798654652.44
2026-04-20T09:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,787880108.42
2026-04-20T10:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,881146732.22
2026-04-20T11:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,869978508.69
2026-04-20T12:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,848854796.92
2026-04-20T13:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,761840684.24
2026-04-20T14:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,837542846.91
2026-04-20T15:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,898405468.33
2026-04-20T16:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,727085978.03
2026-04-20T17:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,801560276.07
2026-04-20T18:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,680297289.86
2026-04-20T19:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,731678829.86
2026-04-20T20:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,293697538.64
2026-04-20T21:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,351536719.28
2026-04-20T22:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,314371926.67
2026-04-20T23:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,369765516.92
2026-04-21T00:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,365643039.12
2026-04-21T01:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,353270485.99
2026-04-21T02:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,269396650.41
2026-04-21T03:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,340607055.75
2026-04-21T04:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,358253965.97
2026-04-21T05:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,364079123.5
2026-04-21T06:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,304915112.44
2026-04-21T07:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,342800882.06
2026-04-21T08:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,757804397.44
2026-04-21T09:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,772057671.89
2026-04-21T10:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,929115484.36
2026-04-21T11:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,772167087.27
2026-04-21T12:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,837268176.78
2026-04-21T13:00:00+00:00,dev-001,core-rtr-01,cisco,2,bps,1,914288748.86
